datetime,BMS Temp,BatteryAdaptiveSOC,BatteryAdaptiveAmphours,AuxilaryBatteryVoltage
2023-06-27 15:23:21.548595,128,1804,171,31
2023-06-27 15:23:23.548559,128,1804,171,31
2023-06-27 15:23:25.548589,128,1804,171,31
2023-06-27 15:23:27.548548,128,1804,171,31
2023-06-27 15:23:29.548593,128,1804,171,31
2023-06-27 15:23:31.548462,129,1804,171,31
2023-06-27 15:23:33.548413,128,1804,171,31
2023-06-27 15:23:35.548309,128,1804,171,31
2023-06-27 15:23:37.548242,128,1804,171,31
2023-06-27 15:23:39.548231,128,1804,171,31
2023-06-27 15:23:41.548186,129,1804,171,31
2023-06-27 15:23:43.548044,128,1804,171,31
2023-06-27 15:23:45.548041,129,1804,171,31
2023-06-27 15:23:47.547537,128,1804,171,31
2023-06-27 15:23:49.547835,128,1804,171,31
2023-06-27 15:23:51.547801,128,1804,171,31
2023-06-27 15:23:53.547809,128,1804,171,31
2023-06-27 15:26:01.715696,128,1804,171,31
2023-06-27 15:26:03.715651,128,1804,171,31
2023-06-27 15:26:05.715642,128,1804,171,31
2023-06-27 15:26:07.715578,129,1804,171,31
2023-06-27 15:26:09.715446,128,1804,171,31
2023-06-27 15:26:11.715461,128,1804,171,31
2023-06-27 15:26:13.715328,128,1804,171,31
2023-06-27 15:26:15.715266,128,1804,171,31
2023-06-27 15:26:17.715287,128,1804,171,31
2023-06-27 15:26:19.715148,128,1804,171,31
2023-06-27 15:26:21.714991,128,1804,171,31
2023-06-27 15:26:23.715112,128,1804,171,31
2023-06-27 15:26:25.715035,128,1804,171,31
2023-06-27 15:26:27.714910,128,1804,171,31
2023-06-27 15:26:29.714843,128,1804,171,31
2023-06-27 15:26:31.714854,128,1804,171,31
2023-06-27 15:26:33.714594,128,1804,171,31
2023-06-27 15:26:35.714258,128,1804,171,31
2023-06-27 15:26:37.713896,128,1804,171,31
2023-06-27 15:26:39.713485,128,1804,171,31
2023-06-27 15:26:41.713259,129,1804,171,31
2023-06-27 15:26:43.712920,128,1804,171,31
2023-06-27 15:26:45.712796,128,1804,171,31
2023-06-27 15:26:47.712424,128,1804,171,31
2023-06-27 15:26:49.712258,128,1804,171,31
2023-06-27 15:26:51.712146,128,1804,171,31
2023-06-27 15:26:53.711910,128,1804,171,31
2023-06-27 15:26:55.711743,128,1804,171,31
2023-06-27 15:26:57.711603,128,1804,171,31
2023-06-27 15:26:59.711465,128,1804,171,31
2023-06-27 15:27:01.711332,128,1804,171,31
2023-06-27 15:27:03.711224,128,1804,171,31
2023-06-27 15:27:05.711107,128,1803,171,31
2023-06-27 15:27:07.711002,128,1803,171,31
2023-06-27 15:27:09.710904,128,1803,171,31
2023-06-27 15:27:11.710885,128,1803,171,31
2023-06-27 15:27:13.710628,128,1803,171,31
2023-06-27 15:27:15.710715,128,1803,171,31
2023-06-27 15:27:17.710557,128,1803,171,31
2023-06-27 15:27:19.710544,128,1803,171,31
2023-06-27 15:27:21.710406,128,1803,171,31
2023-06-27 15:27:23.710317,128,1803,171,31
2023-06-27 15:27:25.710245,128,1802,171,31
2023-06-27 15:27:27.710172,128,1802,171,31
2023-06-27 15:27:29.710187,128,1802,171,31
2023-06-27 15:27:31.710037,128,1802,171,31
2023-06-27 15:27:33.709972,128,1802,171,31
2023-06-27 15:27:35.709524,128,1802,171,31
2023-06-27 15:27:37.709832,128,1802,171,31
