AverageMotorStatorCurrent,AverageMotorPhaseVoltage,MotorActualTorque,TargetTorque,MotorRPM,PropotionalSpeedLimit,CalculatedBatteryCurrent,ControllerCapacitorVoltage,ThrottleInput,Synced,timeStamp
16.0,28.8125,2.875,15.0,1453.0,1511,6.8125,99.75,3.94921875,0,1685794202554
24.0,28.4375,3.3125,15.875,1469.0,1536,5.25,99.75,4.0625,0,1685794202567
31.0,29.1875,6.0,15.5,1468.0,1559,6.3125,99.75,4.015625,0,1685794202640
34.0,30.375,8.0625,15.875,1466.0,1580,9.125,99.75,4.0546875,0,1685794202740
34.0,31.5,7.8125,15.875,1481.0,1593,11.4375,99.6875,4.05078125,0,1685794202841
28.0,30.75,5.0625,16.0,1521.0,1593,11.0,99.75,4.0546875,0,1685794202942
33.0,29.1875,5.9375,15.875,1519.0,1596,9.0625,99.6875,4.05078125,0,1685794203040
39.0,29.5625,6.875,15.6875,1513.0,1585,10.0625,99.6875,4.0625,0,1685794203141
23.0,30.3125,4.1875,15.8125,1543.0,1587,9.5,99.75,4.0390625,0,1685794203239
13.0,31.9375,2.1875,15.6875,1555.0,1581,7.0625,99.8125,4.0078125,0,1685794203340
17.0,33.125,2.5,15.3125,1533.0,1566,5.5625,99.8125,3.95703125,0,1685794203450
19.0,31.9375,2.4375,15.0,1520.0,1551,5.3125,99.8125,3.95703125,0,1685794203541
12.0,32.75,1.25,15.25,1520.0,1536,4.25,99.8125,3.93359375,0,1685794203642
9.0,31.9375,1.0,15.0,1509.0,1524,2.8125,99.8125,3.9609375,0,1685794203742
11.0,31.9375,1.8125,15.0,1492.0,1517,2.5,99.8125,3.9453125,0,1685794203840
17.0,31.9375,1.5625,15.25,1486.0,1519,2.8125,99.8125,3.98046875,0,1685794203942
19.0,31.9375,2.4375,15.25,1482.0,1522,3.375,99.8125,3.9453125,0,1685794204042
19.0,32.3125,2.25,15.25,1485.0,1526,3.9375,99.8125,3.9609375,0,1685794204141
16.0,31.9375,2.4375,15.125,1482.0,1522,4.3125,99.8125,3.95703125,0,1685794204240
19.0,30.75,3.875,15.125,1467.0,1520,5.125,99.75,3.94921875,0,1685794204340
18.0,30.0,4.125,15.0,1467.0,1510,6.5,99.8125,3.94921875,0,1685794204444
24.0,28.8125,3.5,16.25,1475.0,1519,6.1875,99.75,4.19140625,0,1685794204549
30.0,28.8125,4.9375,17.6875,1472.0,1539,6.3125,99.8125,4.3125,0,1685794204643
38.0,29.5625,7.4375,17.75,1484.0,1600,8.375,99.6875,4.28125,0,1685794204743
43.0,30.75,8.75,17.5625,1520.0,1648,11.5625,99.6875,4.26953125,0,1685794204852
39.0,31.875,9.0625,16.0,1548.0,1645,13.9375,99.6875,3.96875,0,1685794204945
29.0,32.3125,5.75,15.125,1541.0,1611,13.0,99.75,3.93359375,0,1685794205057
22.0,32.6875,4.3125,14.125,1528.0,1566,10.75,99.75,3.8203125,0,1685794205142
19.0,32.75,0.5625,13.8125,1529.0,1520,7.0,99.8125,3.77734375,0,1685794205244
18.0,31.5625,-1.8125,13.8125,1514.0,1489,1.9375,99.875,3.796875,0,1685794205345
20.0,30.0,-0.875,13.8125,1469.0,1456,-0.4375,99.8125,3.765625,0,1685794205444
11.0,30.375,-1.25,13.5,1458.0,1431,-0.375,99.875,3.796875,0,1685794205540
19.0,29.625,-4.0,15.125,1477.0,1438,-2.5,99.875,4.0078125,0,1685794205642
15.0,28.0625,-0.8125,17.125,1466.0,1476,-3.3125,99.8125,4.234375,0,1685794205746
28.0,29.5625,5.125,17.875,1443.0,1544,0.625,99.8125,4.328125,0,1685794205843
42.0,31.5,8.6875,18.25,1475.0,1618,7.375,99.75,4.3515625,0,1685794205942
45.0,31.125,8.5625,18.4375,1546.0,1680,11.625,99.625,4.3984375,0,1685794206043
62.0,30.3125,14.0625,18.375,1523.0,1728,15.875,99.625,4.41015625,0,1685794206140
79.0,32.625,18.5625,18.4375,1507.0,1769,24.0625,99.5,4.36328125,0,1685794206240
65.0,36.9375,14.1875,18.6875,1589.0,1794,28.375,99.5625,4.39453125,0,1685794206328
52.0,33.4375,9.4375,18.5625,1669.0,1817,24.5,99.625,4.40625,0,1685794206429
34.0,36.9375,9.25,18.6875,1686.0,1835,19.9375,99.6875,4.4296875,0,1685794206530
38.0,38.125,7.25,18.75,1722.0,1851,17.1875,99.75,4.44140625,0,1685794206628
26.0,37.75,5.0,18.8125,1760.0,1866,14.0625,99.6875,4.43359375,0,1685794206730
17.0,37.75,4.1875,19.0625,1782.0,1877,11.3125,99.75,4.46484375,0,1685794206828
17.0,37.75,4.375,19.4375,1794.0,1889,10.0,99.75,4.4765625,0,1685794206928
21.0,37.6875,4.875,19.625,1801.0,1904,10.125,99.625,4.53515625,0,1685794207028
22.0,38.125,5.0625,19.6875,1813.0,1924,10.625,99.6875,4.5703125,0,1685794207129
23.0,38.9375,5.75,19.75,1819.0,1943,11.3125,99.6875,4.53515625,0,1685794207228
30.0,40.0625,5.875,19.75,1828.0,1958,12.125,99.6875,4.53515625,0,1685794207328
23.0,40.5,5.6875,19.875,1840.0,1971,11.6875,99.75,4.48828125,0,1685794207431
13.0,37.375,3.25,19.1875,1840.0,1936,9.75,99.75,4.46484375,0,1685794207531
24.0,37.0,3.625,18.875,1829.0,1926,7.375,99.75,4.41796875,0,1685794207631
30.0,35.4375,2.3125,18.6875,1837.0,1911,6.5,99.75,4.28125,0,1685794207730
24.0,35.4375,0.8125,17.0,1843.0,1889,4.8125,99.75,4.16796875,0,1685794207829
0.0,36.25,-0.875,16.375,1831.0,1842,2.5,99.8125,4.1171875,0,1685794207930
8.0,33.875,-1.875,16.1875,1793.0,1789,-0.25,99.8125,4.140625,0,1685794208030
15.0,33.125,-0.5,16.25,1734.0,1745,-1.5,99.8125,4.109375,0,1685794208129
15.0,36.25,-0.75,16.375,1707.0,1713,-1.25,99.875,4.1328125,0,1685794208229
27.0,35.0625,-4.0625,16.375,1727.0,1689,-2.875,99.9375,4.140625,0,1685794208330
21.0,32.3125,-3.5625,16.6875,1705.0,1675,-5.375,99.8125,4.140625,0,1685794208431
20.0,33.9375,0.1875,16.5625,1651.0,1666,-3.6875,99.875,4.1640625,0,1685794208530
22.0,32.3125,3.375,16.6875,1627.0,1675,0.8125,99.75,4.15234375,0,1685794208628
20.0,34.6875,2.375,16.6875,1642.0,1672,3.8125,99.8125,4.14453125,0,1685794208731
18.0,32.6875,1.1875,16.6875,1645.0,1662,3.4375,99.75,4.15234375,0,1685794208830
14.0,33.875,2.5625,16.5,1637.0,1665,3.375,99.8125,4.12109375,0,1685794208929
19.0,33.5,4.9375,15.8125,1592.0,1649,5.25,99.8125,4.05078125,0,1685794209028
27.0,31.5,5.0,15.4375,1573.0,1630,7.0625,99.75,3.94921875,0,1685794209131
17.0,31.1875,1.8125,14.875,1587.0,1601,6.8125,99.8125,3.8984375,0,1685794209229
18.0,33.125,-0.4375,14.4375,1579.0,1562,3.5625,99.8125,3.84765625,0,1685794209329
18.0,31.9375,-0.5625,13.9375,1541.0,1523,0.6875,99.875,3.78515625,0,1685794209429
16.0,31.5625,-0.3125,13.8125,1498.0,1484,-0.4375,99.8125,3.796875,0,1685794209531
14.0,30.75,-0.8125,13.6875,1472.0,1455,-0.4375,99.875,3.796875,0,1685794209632
23.0,30.375,-3.6875,14.0,1484.0,1433,-1.75,99.875,3.7890625,0,1685794209732
21.0,28.875,-5.0,13.8125,1482.0,1416,-4.4375,99.9375,3.796875,0,1685794209828
17.0,27.25,-2.1875,13.8125,1432.0,1401,-4.875,99.875,3.77734375,0,1685794209931
6.0,28.4375,0.6875,13.6875,1383.0,1389,-2.625,99.8125,3.77734375,0,1685794210031
0.0,26.875,0.5625,13.9375,1379.0,1390,-0.3125,99.8125,3.765625,0,1685794210128
4.0,28.4375,1.75,13.75,1360.0,1380,1.125,99.8125,3.7734375,0,1685794210229
6.0,28.0625,0.8125,13.4375,1363.0,1371,1.625,99.8125,3.765625,0,1685794210328
10.0,27.25,1.9375,13.25,1343.0,1365,1.8125,99.8125,3.7265625,0,1685794210431
6.0,26.4375,1.1875,13.375,1346.0,1359,2.125,99.8125,3.71875,0,1685794210528
13.0,28.0625,2.625,13.125,1318.0,1349,2.5,99.8125,3.56640625,0,1685794210629
21.0,25.3125,3.0,11.25,1299.0,1329,3.375,99.8125,3.4296875,0,1685794210732
4.0,25.3125,0.3125,10.8125,1295.0,1284,3.1875,99.8125,3.41796875,0,1685794210828
17.0,25.3125,-1.4375,10.75,1265.0,1233,0.8125,99.8125,3.41015625,0,1685794210932
17.0,24.9375,-1.0625,11.0625,1216.0,1193,-0.9375,99.8125,3.41796875,0,1685794211029
13.0,23.75,-0.1875,10.75,1172.0,1163,-0.8125,99.8125,3.43359375,0,1685794211128
0.0,23.375,-1.1875,10.6875,1160.0,1140,-0.375,99.8125,3.38671875,0,1685794211229
12.0,22.5625,-3.5625,10.8125,1169.0,1119,-1.625,99.875,3.3828125,0,1685794211330
13.0,21.8125,-2.6875,10.6875,1141.0,1103,-3.0,99.875,3.3828125,0,1685794211429
16.0,22.625,-0.75,10.8125,1101.0,1088,-2.5,99.875,3.375,0,1685794211530
7.0,20.625,-0.6875,10.6875,1086.0,1074,-1.25,99.8125,3.3515625,0,1685794211628
4.0,21.4375,0.9375,10.375,1054.0,1063,-0.4375,99.8125,3.36328125,0,1685794211730
6.0,21.0,0.6875,10.375,1046.0,1053,0.4375,99.8125,3.28125,0,1685794211830
8.0,21.8125,1.25,10.0625,1027.0,1040,0.875,99.8125,3.31640625,0,1685794211930
13.0,19.875,0.5,10.25,1023.0,1028,0.9375,99.8125,3.31640625,0,1685794212029
7.0,20.25,0.6875,10.0625,1011.0,1018,0.9375,99.8125,3.3125,0,1685794212130
6.0,20.625,1.75,9.875,993.0,1013,1.1875,99.875,3.3125,0,1685794212229
17.0,19.4375,1.75,9.9375,991.0,1011,1.4375,99.8125,3.24609375,0,1685794212343
7.0,19.875,1.8125,8.0625,980.0,998,1.875,99.8125,2.265625,0,1685794212428
8.0,19.4375,-0.1875,0.0,958.0,923,1.8125,99.875,1.359375,0,1685794212530
41.0,17.125,-9.5625,0.0,920.0,735,-1.5625,99.9375,1.36328125,0,1685794212628
59.0,12.0625,-14.5,0.0,777.0,544,-6.0,99.875,1.375,0,1685794212731
37.0,7.0,-8.0,0.0,540.0,403,-5.4375,99.875,1.3359375,0,1685794212830
15.0,5.4375,-3.125,0.0,358.0,297,-3.0,99.8125,1.359375,0,1685794212929
8.0,4.25,-1.8125,0.0,258.0,218,-1.5,99.8125,1.3359375,0,1685794213029
10.0,3.0625,-2.6875,0.0,209.0,160,-0.8125,99.8125,1.359375,0,1685794213131
6.0,2.6875,-1.8125,0.0,148.0,116,-0.5,99.8125,1.36328125,0,1685794213229
6.0,1.9375,-1.125,0.0,112.0,84,-0.3125,99.875,1.375,0,1685794213331
0.0,0.375,0.0,0.0,76.0,61,-0.125,99.8125,1.3515625,0,1685794213430
0.0,0.375,0.0,0.0,61.0,43,-0.0625,99.875,1.3515625,0,1685794213528
0.0,1.9375,0.0,0.0,58.0,30,-0.0625,99.875,1.34765625,0,1685794213629
0.0,1.5,0.0,0.0,53.0,20,-0.0625,99.875,1.359375,0,1685794213730
4.0,1.9375,0.0,0.0,44.0,12,-0.0625,99.8125,1.3515625,0,1685794213828
0.0,0.75,0.0,0.0,36.0,7,-0.0625,99.8125,1.36328125,0,1685794213929
0.0,0.75,0.0,0.0,26.0,2,0.0,99.875,1.37109375,0,1685794214028
0.0,1.125,0.0,0.0,16.0,0,0.0,99.8125,1.37109375,0,1685794214130
4.0,0.375,0.0,0.0,7.0,0,0.0,99.8125,1.3359375,0,1685794214228
0.0,1.125,0.1875,0.0,-3.0,0,0.0,99.8125,1.3359375,0,1685794214328
0.0,1.125,-0.25,0.0,2.0,0,-0.0625,99.8125,1.359375,0,1685794214429
0.0,1.125,0.125,0.0,0.0,0,-0.0625,99.8125,1.36328125,0,1685794214531
4.0,0.75,0.0,0.0,0.0,0,-0.0625,99.8125,1.3515625,0,1685794214629
4.0,1.125,0.0,0.0,0.0,0,-0.0625,99.8125,1.37109375,0,1685794214730
