name,time,city,country,fault_code,fault_count,state,vehicle_id,zipcode
controller_fault_status,2023-05-02T16:26:12.47Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-02T16:26:12.545Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-05T14:34:32.015Z,Tulare,USA,0x45C3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-05T16:07:37.775Z,Tulare,USA,0x45C3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-05T16:07:37.791Z,Tulare,USA,"0x45C3,0x45C3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-05T16:07:37.793Z,Tulare,USA,"0x45C3,0x45C3,0x4DC3",3,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-05T16:07:37.806Z,Tulare,USA,"0x45C3,0x45C3,0x4DC3,0x4DC3",4,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-05T16:17:55.819Z,Tulare,USA,0x45C3,2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-05T16:17:55.845Z,Tulare,USA,0x4DC3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-05T16:17:55.862Z,Tulare,USA,"0x4DC3,0x4DC3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:36:25.734Z,Tulare,USA,0x4DC3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:36:25.752Z,Tulare,USA,"0x4DC3,0x45C3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:36:26.118Z,Tulare,USA,"0x4DC3,0x45C3,0x4DC3",3,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:36:26.125Z,Tulare,USA,"0x4DC3,0x45C3,0x4DC3,0x45C3",4,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:37:41.062Z,Tulare,USA,0x4884,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:37:41.064Z,Tulare,USA,"0x4884,0x4884",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:37:44.071Z,Tulare,USA,0x4884,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:37:45.331Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:38:11.588Z,Tulare,USA,0x4DC3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:38:24.007Z,Tulare,USA,0x4884,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:38:24.019Z,Tulare,USA,"0x4884,0x4981",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:38:24.22Z,Tulare,USA,"0x4884,0x4981,0x4884",3,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:38:24.231Z,Tulare,USA,"0x4884,0x4981,0x4884,0x4981",4,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:38:30.293Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:38:30.295Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:38:30.353Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:38:30.359Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:38:52.384Z,Tulare,USA,0x4DC3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:38:52.456Z,Tulare,USA,"0x4DC3,0x45C3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:39:02.639Z,Tulare,USA,0x4884,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:39:02.759Z,Tulare,USA,"0x4884,0x4884",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:39:07.222Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:39:22.548Z,Tulare,USA,0x4DC3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:39:22.567Z,Tulare,USA,"0x4DC3,0x4DC3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:40:08.141Z,Tulare,USA,0x4884,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:40:08.275Z,Tulare,USA,"0x4884,0x4884",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:40:11.874Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:40:27.966Z,Tulare,USA,0x4DC3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:40:28.135Z,Tulare,USA,"0x4DC3,0x4DC3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:11.115Z,Tulare,USA,0x4DC3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:11.256Z,Tulare,USA,"0x4DC3,0x4DC3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:28.301Z,Tulare,USA,0x4884,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:28.314Z,Tulare,USA,"0x4884,0x4884",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:33.629Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:33.708Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:44.076Z,Tulare,USA,0x4DC3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:44.216Z,Tulare,USA,"0x4DC3,0x4DC3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:54.477Z,Tulare,USA,0x4884,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:54.482Z,Tulare,USA,"0x4884,0x4981",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:54.51Z,Tulare,USA,"0x4884,0x4981,0x4884",3,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-08T14:41:54.516Z,Tulare,USA,"0x4884,0x4981,0x4884,0x4981",4,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T19:25:44.372Z,Tulare,USA,0x45C3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T19:25:44.376Z,Tulare,USA,"0x45C3,0x4DC3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T19:29:47.464Z,Tulare,USA,"0x45C3,0x4DC3,0x45C3",3,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T19:29:47.469Z,Tulare,USA,"0x45C3,0x4DC3,0x45C3,0x4DC3",4,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T19:50:32.938Z,Tulare,USA,0x45C3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T19:50:33.129Z,Tulare,USA,"0x45C3,0x4DC3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T20:12:01.913Z,Tulare,USA,0x45C3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T20:12:01.923Z,Tulare,USA,"0x45C3,0x4DC3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T21:36:34.395Z,Tulare,USA,0x4884,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T21:36:46.084Z,Tulare,USA,,0,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T21:59:01.463Z,Tulare,USA,0x45C3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T21:59:01.467Z,Tulare,USA,"0x45C3,0x45C3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T21:59:01.478Z,Tulare,USA,"0x45C3,0x45C3,0x4DC3",3,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-12T21:59:01.49Z,Tulare,USA,"0x45C3,0x45C3,0x4DC3,0x4DC3",4,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-13T01:36:57.311Z,Tulare,USA,0x45C3,1,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-13T01:36:57.356Z,Tulare,USA,"0x45C3,0x4DC3",2,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-13T01:36:57.63Z,Tulare,USA,"0x45C3,0x4DC3,0x45C3",3,CA,mbx002vwbmz22003,95138
controller_fault_status,2023-05-13T01:36:57.646Z,Tulare,USA,"0x45C3,0x4DC3,0x45C3,0x4DC3",4,CA,mbx002vwbmz22003,95138
